 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances      Avg (ns)           Med (ns)          Min (ns)         Max (ns)        StdDev (ns)      Style           Range        
 --------  ---------------  ---------  -----------------  -----------------  ---------------  ---------------  ----------------  -------  ---------------------
     32.3  154,071,248,802          1  154,071,248,802.0  154,071,248,802.0  154,071,248,802  154,071,248,802               0.0  PushPop  :train               
     29.5  140,533,688,328         20    7,026,684,416.4    1,301,481,440.5      391,971,018  116,515,887,052  25,771,938,735.0  PushPop  :gradient calc       
      9.8   46,501,234,824         45    1,033,360,773.9       88,814,101.0       34,726,950   28,871,400,577   4,265,733,316.0  PushPop  :loss-fwd            
      5.2   24,999,218,330         45      555,538,185.1       88,138,497.0       34,025,336    7,533,711,493   1,142,952,837.2  PushPop  :m-transformer       
      4.6   21,722,463,375        180      120,680,352.1        1,494,258.0          820,374    5,973,598,408     495,040,242.1  PushPop  :tf-attn             
      4.5   21,468,673,076         45      477,081,623.9          234,578.0          153,979   21,335,397,481   3,180,084,347.7  PushPop  :m-embedding         
      2.9   13,929,899,636          1   13,929,899,636.0   13,929,899,636.0   13,929,899,636   13,929,899,636               0.0  PushPop  :data rank           
      1.8    8,679,153,799          1    8,679,153,799.0    8,679,153,799.0    8,679,153,799    8,679,153,799               0.0  PushPop  :test                
      1.6    7,842,882,129         45      174,286,269.5       24,083,894.0        1,006,602    5,874,380,401     869,621,860.5  PushPop  :loss-find masks     
      1.5    6,938,246,349         20      346,912,317.4       81,142,671.0       78,502,579    5,122,068,056   1,125,663,404.6  PushPop  :recalc loss         
      1.3    6,400,876,750         20      320,043,837.5        8,155,215.0        7,994,895    6,245,105,019   1,394,614,700.7  PushPop  :update              
      1.2    5,800,765,615          1    5,800,765,615.0    5,800,765,615.0    5,800,765,615    5,800,765,615               0.0  PushPop  :data load           
      1.2    5,643,047,899          5    1,128,609,579.8        7,223,865.0        6,576,979    5,614,582,331   2,507,735,026.1  PushPop  :onecold             
      0.9    4,422,780,973         45       98,284,021.6          659,236.0          257,838    4,319,321,699     643,632,880.0  PushPop  :loss-crossentropy   
      0.6    2,887,746,363        180       16,043,035.3          380,897.5          196,126    1,262,865,415     123,283,737.2  PushPop  :tf-mlp              
      0.4    2,104,831,808          5      420,966,361.6      261,570,856.0      191,986,740    1,126,792,248     395,732,899.3  PushPop  :get ranks/errors    
      0.2      823,860,429         45       18,308,009.5           67,825.0           49,720      810,691,884     120,815,636.6  PushPop  :loss-onehotbatch    
      0.1      479,182,198          1      479,182,198.0      479,182,198.0      479,182,198      479,182,198               0.0  PushPop  :split/mask          
      0.1      448,547,928          5       89,709,585.6       96,165,899.0       59,445,776      110,550,352      19,315,803.5  PushPop  :loss calc           
      0.1      429,380,241          5       85,876,048.2          180,251.0          153,570      428,691,047     191,639,410.6  PushPop  :find indices        
      0.1      326,808,284        180        1,815,601.6          439,796.0          286,944      232,959,989      17,328,409.3  PushPop  :tf-drop/norm        
      0.0      160,193,040         25        6,407,721.6          312,410.0          225,002      151,536,782      30,235,459.0  PushPop  :cpu to gpu          
      0.0       59,934,239        180          332,968.0           60,536.0           48,822       46,812,074       3,485,032.2  PushPop  :tf-reshape bkw/resid
      0.0       44,970,833          5        8,994,166.6        2,255,444.0        1,803,277       31,171,515      12,617,256.6  PushPop  :gpu to cpu          
      0.0       32,565,668         45          723,681.5          704,962.0          440,893        2,226,150         334,038.1  PushPop  :m-classifier        
      0.0          246,841        180            1,371.3              964.5              575           30,131           3,090.0  PushPop  :tf-reshape fwd      
      0.0           94,014         45            2,089.2              823.0              556           28,571           5,715.5  PushPop  :loss-reshape        

Processing [out/nsight/rtf_report.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls      Avg (ns)         Med (ns)      Min (ns)     Max (ns)        StdDev (ns)              Name         
 --------  ---------------  ---------  ----------------  ---------------  --------  ---------------  ----------------  ----------------------
     33.5  214,163,486,457         17  12,597,852,144.5  2,981,756,029.0    45,662  176,777,605,710  42,384,493,202.4  sem_wait              
     32.8  209,545,132,804      2,104      99,593,694.3    100,152,049.5    46,436      111,506,948       7,136,007.5  poll                  
     32.0  204,916,585,427        508     403,379,105.2     72,519,275.0   119,282   15,526,419,013   1,550,428,657.9  pthread_cond_wait     
      1.5    9,457,917,403      1,706       5,543,914.1          2,042.5     1,000      806,766,794      29,833,930.5  epoll_pwait           
      0.1      749,138,479      3,845         194,834.5        212,127.0     4,741        2,973,733         101,221.2  open64                
      0.1      322,679,039     32,876           9,815.0          5,491.0     1,003      126,901,034         699,995.3  read                  
      0.0      224,408,565      2,284          98,252.4         32,064.0     1,017       22,076,301         830,966.2  ioctl                 
      0.0      126,922,887     12,089          10,499.0          7,512.0     1,163          107,061           7,921.7  pwrite64              
      0.0       35,495,048        301         117,923.7         23,068.0     2,505       12,033,552         961,929.8  fopen                 
      0.0       19,886,439        135         147,307.0         16,483.0     2,114        4,811,107         467,740.8  open                  
      0.0       14,111,955      2,150           6,563.7          2,780.5     1,008          143,090          11,989.6  fread                 
      0.0       13,418,676      1,305          10,282.5         10,173.0     1,316           93,575           7,701.7  mprotect              
      0.0        9,392,847        508          18,489.9          4,208.5     1,002          181,231          36,073.2  write                 
      0.0        4,534,423         21         215,924.9         11,200.0     3,806        4,267,958         928,454.8  munmap                
      0.0        4,510,414         36         125,289.3        112,278.0    55,541          257,572          51,808.4  pthread_create        
      0.0        4,453,800        100          44,538.0         13,589.0     1,484        1,603,330         199,838.7  mmap64                
      0.0        4,040,042        435           9,287.5          6,956.0     1,087           38,225           6,157.3  fwrite                
      0.0        2,756,496        585           4,712.0          4,731.0     1,002           14,805           1,894.7  pthread_cond_signal   
      0.0        2,602,449        291           8,943.1          7,989.0     1,655           45,557           4,916.3  fclose                
      0.0        1,993,760         81          24,614.3         22,647.0    18,655           38,136           4,592.9  waitpid               
      0.0        1,306,510         64          20,414.2         11,758.0     1,777          307,250          39,983.0  mmap                  
      0.0        1,178,387         10         117,838.7         73,919.0    20,555          638,004         184,564.6  sem_timedwait         
      0.0          974,957         91          10,713.8         10,177.0     2,328           26,347           3,381.1  pipe2                 
      0.0          789,009        245           3,220.4          2,941.0     1,377           21,537           2,510.7  epoll_ctl             
      0.0          678,435          1         678,435.0        678,435.0   678,435          678,435               0.0  pthread_join          
      0.0          627,826        164           3,828.2          3,829.0     1,006           10,332           2,592.4  sigaction             
      0.0          422,710        218           1,939.0          1,773.5     1,004           11,131             843.9  fcntl                 
      0.0          283,170          7          40,452.9         37,514.0    22,892           70,033          17,837.3  pthread_rwlock_wrlock 
      0.0          254,761          7          36,394.4         36,013.0    28,187           42,708           5,362.2  pthread_rwlock_rdlock 
      0.0          221,662        103           2,152.1          2,066.0     1,008           13,836           1,506.7  signal                
      0.0          118,377         85           1,392.7          1,329.0     1,002            4,323             376.6  dup2                  
      0.0          101,848          3          33,949.3         11,391.0    10,937           79,520          39,466.0  fgets                 
      0.0           82,270          3          27,423.3         26,306.0    20,468           35,496           7,576.0  socket                
      0.0           41,617          7           5,945.3          1,110.0     1,002           20,173           7,329.6  pthread_cond_broadcast
      0.0            7,984          2           3,992.0          3,992.0     3,491            4,493             708.5  fopen64               
      0.0            4,784          2           2,392.0          2,392.0     2,100            2,684             413.0  pthread_barrier_wait  
      0.0            3,862          1           3,862.0          3,862.0     3,862            3,862               0.0  bind                  
      0.0            3,154          3           1,051.3          1,042.0     1,011            1,101              45.7  dup                   
      0.0            2,263          2           1,131.5          1,131.5     1,068            1,195              89.8  fflush                
      0.0            1,333          1           1,333.0          1,333.0     1,333            1,333               0.0  listen                
      0.0            1,240          1           1,240.0          1,240.0     1,240            1,240               0.0  dup3                  
      0.0            1,116          1           1,116.0          1,116.0     1,116            1,116               0.0  pthread_mutex_trylock 

Processing [out/nsight/rtf_report.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)      Med (ns)    Min (ns)    Max (ns)    StdDev (ns)                  Name               
 --------  ---------------  ---------  ------------  ------------  ---------  -----------  ------------  ----------------------------------
     36.5    4,214,782,094         80  52,684,776.2  55,833,369.5     86,256   61,212,785  13,514,805.8  cudaMemcpyAsync                   
     32.3    3,728,812,404      1,180   3,160,010.5       4,147.5      1,025   90,401,119  10,839,959.4  cuStreamSynchronize               
     21.9    2,526,385,465        505   5,002,743.5      44,019.0     10,996  129,448,120  24,374,380.0  cuMemcpyDtoHAsync_v2              
      3.9      451,997,164        126   3,587,279.1      40,229.0      3,801   22,970,281   8,146,783.8  cuMemcpyHtoDAsync_v2              
      1.4      162,501,922     14,546      11,171.6       3,305.0      1,044    9,848,990     112,753.5  cuMemAllocFromPoolAsync           
      1.3      144,377,674     14,854       9,719.8       8,088.0      3,056      113,561       6,626.6  cuLaunchKernel                    
      0.9      100,178,779    622,280         161.0         151.0         67      116,193         297.8  cuCtxGetId                        
      0.6       66,937,397      3,275      20,438.9       9,072.0      4,634   23,480,474     413,482.3  cudaLaunchKernel                  
      0.3       39,967,495         80     499,593.7     216,423.0     83,154   22,995,181   2,549,550.7  cuModuleLoadDataEx                
      0.3       38,549,192     14,438       2,670.0       2,230.0      1,113       32,574       2,078.2  cuMemFreeAsync                    
      0.2       28,121,997    158,456         177.5         164.0         75       23,981         247.9  cuStreamGetCaptureInfo            
      0.1        8,610,457        121      71,160.8      34,303.0     13,162    1,535,039     222,952.0  cuMemGetInfo_v2                   
      0.0        5,219,279         80      65,241.0      62,342.0     15,324      309,872      38,467.5  cuModuleUnload                    
      0.0        4,789,519          2   2,394,759.5   2,394,759.5      1,631    4,787,888   3,384,394.8  cudaFree                          
      0.0        3,652,648        144      25,365.6      15,495.0     10,685      120,030      22,148.8  cuCtxSynchronize                  
      0.0        2,153,251          1   2,153,251.0   2,153,251.0  2,153,251    2,153,251           0.0  cuLibraryUnload                   
      0.0        1,708,014        172       9,930.3       6,096.5      2,094       56,645       9,632.0  cuMemsetD32Async                  
      0.0        1,093,000          1   1,093,000.0   1,093,000.0  1,093,000    1,093,000           0.0  cuMemHostAlloc                    
      0.0          725,389         80       9,067.4       8,465.0      5,689       19,839       2,299.7  cudaStreamSynchronize             
      0.0          653,852        400       1,634.6         490.5        275       12,791       1,943.4  cudaStreamGetCaptureInfo_v2_v11030
      0.0          603,770         81       7,454.0       7,168.0      4,619       17,597       1,639.1  cudaEventRecord                   
      0.0          449,898      1,634         275.3         222.0        106       12,723         541.3  cuGetProcAddress_v2               
      0.0          426,935          4     106,733.8      70,176.5      7,060      279,522     126,810.3  cudaMalloc                        
      0.0          422,327         16      26,395.4       4,191.5      3,682      311,442      76,468.2  cudaStreamCreateWithFlags         
      0.0          125,869        242         520.1         327.5        170        3,496         408.0  cuMemPoolGetAttribute             
      0.0          106,746          1     106,746.0     106,746.0    106,746      106,746           0.0  cuStreamDestroy_v2                
      0.0          102,689          1     102,689.0     102,689.0    102,689      102,689           0.0  cuMemPoolCreate                   
      0.0           51,205          1      51,205.0      51,205.0     51,205       51,205           0.0  cuMemcpyDtoDAsync_v2              
      0.0           35,167         19       1,850.9         849.0        789       15,610       3,393.3  cudaEventCreateWithFlags          
      0.0           21,646          1      21,646.0      21,646.0     21,646       21,646           0.0  cudaMemsetAsync                   
      0.0           21,004          1      21,004.0      21,004.0     21,004       21,004           0.0  cuStreamCreate                    
      0.0           20,271          1      20,271.0      20,271.0     20,271       20,271           0.0  cudaHostAlloc                     
      0.0           18,874          5       3,774.8       3,334.0      2,875        5,567       1,054.9  cuInit                            
      0.0           10,935          5       2,187.0       2,278.0      1,498        2,860         498.5  cuCtxSetCurrent                   
      0.0            3,636          1       3,636.0       3,636.0      3,636        3,636           0.0  cudaEventQuery                    
      0.0            2,120          2       1,060.0       1,060.0        639        1,481         595.4  cudaGetDriverEntryPoint_v11030    
      0.0            1,009          4         252.3         233.0        210          333          56.6  cuModuleGetLoadingMode            
      0.0              733          1         733.0         733.0        733          733           0.0  cuMemPoolSetAttribute             
      0.0              629          1         629.0         629.0        629          629           0.0  cuDeviceSetMemPool                

Processing [out/nsight/rtf_report.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     23.5    2,329,412,291         76  30,650,161.7  30,586,440.0  29,110,187  31,608,662    586,819.6  big_mapreduce_kernel(identity, add_sum, Float32, CartesianIndices<(long)4, Tuple<OneTo<Int64>, OneT…
     10.5    1,039,198,257        360   2,886,661.8   1,647,239.0      82,371   4,692,203  1,698,614.8  maxwell_sgemm_128x64_nn                                                                             
      7.0      698,297,713        160   4,364,360.7   4,485,394.0     218,858   5,489,037    992,022.1  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll4ELl1EE11BroadcastedI12CuArrayStyleILl4E12DeviceMe…
      4.9      485,939,010        160   3,037,118.8   1,623,910.0      83,588   4,970,614  1,838,987.3  maxwell_sgemm_128x64_tn                                                                             
      4.8      475,112,203        180   2,639,512.2   2,717,830.0     134,662   3,211,083    568,101.8  void cudnn::ops::softmax_fw_kernel<(int)2, float, float, (int)256, (int)1, (int)1, (int)0>(cudnnTen…
